# Curated entity aliases — Layer 2 of entity resolution.
# Both key columns are POST-canonicalize() keys. Single-hop only: a target must
# never appear as a source. Every row is human-reviewed. The `note` column is a
# per-row provenance breadcrumb (see ADR-0002..0004, entity-resolution spec).
# See docs/superpowers/specs/2026-07-08-entity-resolution-design.md.
source_canonical,target_canonical,note
UNIV OF CALIFORNIA SAN FRANCISCO,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,worksheet-2026-07-11
UNIV OF WI SYSTEM MADISON,UNIV OF WI SYSTEM ADMIN,worksheet-2026-07-11
MCKINSEY AND COMPANY UNITED ST,MCKINSEY AND COMPANY UNITED STATES,worksheet-2026-07-11
LAWRENCE BERKELEY NATIONAL LAB,LAWRENCE BERKELEY NATIONAL LABORATORY,worksheet-2026-07-11
RUTGERS THE STATE UNIVERSITY OF NJ,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY,worksheet-2026-07-11
CALIFORNIA DEPT OF TRANSPORTATION,CALIFORNIA DEPARTMENT OF TRANSPORTATION,worksheet-2026-07-11
SAVANNAH CHATHAM COUNTY PUBLIC SCH,SAVANNAH CHATHAM COUNTY PUBLIC SCHOOL SYSTEM,worksheet-2026-07-11
HOWARD HUGHES MEDICAL INSTITUTE HHMI,HOWARD HUGHES MEDICAL INSTITUTE,worksheet-2026-07-11
MAS CHARTER SCHOOLS,MASTERY CHARTER SCHOOLS,worksheet-2026-07-11
OGRADY PEYTON INTL USA,OGRADY PEYTON INTERNATIONAL,worksheet-2026-07-11
UNIVERSITY OF CONNECTICUT HUMAN RESOURCES,UNIVERSITY OF CONNECTICUT HEALTH CENTER,worksheet-2026-07-11
CALIFORNIA POLYTECHNIC STATE UNIV,CALIFORNIA POLYTECHNIC STATE UNIVERSITY SAN LUIS OBISPO,worksheet-2026-07-11
MEDICAL UNIVERSITY OF SC AND AFFILIATES,MEDICAL UNIVERSITY OF SOUTH CAROLINA AND AFFILIATES,worksheet-2026-07-11
UNIFIED SCHOOL DISTRICT NO 480 LIBERAL,UNIFIED SCHOOL DISTRICT 480 LIBERAL,worksheet-2026-07-11
UNIV OF PITTSBURGH PHYSICIANS,UNIVERSITY OF PITTSBURGH PHYSICIANS,worksheet-2026-07-11
RESEARCH INST NWIDE CHILDRENS HOSP,RESEARCH INSTITUTE AT NATIONWIDE CHILDRENS HOSPITAL,worksheet-2026-07-11
BANCROFT A NEW JERSEY NONPROFIT,BANCROFT A NEW JERSEY NON PROFIT,worksheet-2026-07-11
APPOQUINIMINK SCHOOL DISTRICT,APPOQUININMINK SCHOOL DISTRICT,worksheet-2026-07-11
ERNST YOUNG US,ERNST AND YOUNG US,worksheet-2026-07-11
LSU HEALTH SCIENCES CENTER AT SHREVEPORT,LSU HEALTH SCIENCES CENTER SHREVEPORT,worksheet-2026-07-11
